Descrição da falha,Tipo de atividade,CÓDIGO DA OS,Ativo ,Equipe responsável,Executor (tecnico),Início,Fim,Hora início,Hora fim,Duração,Custo real dos técnicos (custo m.o.),Custo total real
Falha no sistema de aquecimento,Manutenção corretiva,CORRETIVA-01-25-0058,#158 - FORNO MAXIMO,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,1/2/2025,1/2/2025,19:30:00,21:00:00,01:30:00,"34,08","34,08"
Desalinhamento dos rolos,Manutenção corretiva,CORRETIVA-01-25-0013,#190 - CALANDRA  JOB-789 #190,EQ-ATV-002 - EQUIPE CORRETIVA,65041 - OPERADOR 20,1/2/2025,1/3/2025,15:00:00,00:08:00,09:00:00,"163,32","163,32"
Falha no motor principal,Manutenção corretiva,CORRETIVA-01-25-0018,#190 - CALANDRA  JOB-789 #190,EQ-ATV-002 - EQUIPE CORRETIVA,64989 - OPERADOR 14,1/2/2025,1/3/2025,23:00:00,02:44:00,03:44:00,"67,88","67,88"
Problema no painel elétrico,Manutenção corretiva,CORRETIVA-01-25-0051,#190 - CALANDRA  JOB-789 #190,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,1/2/2025,1/2/2025,14:00:00,17:00:00,03:00:00,"68,16","68,16"
Desalinhamento dos rolos,Manutenção corretiva,CORRETIVA-01-25-0013,#192 - CALANDRA MINI 813 #192,EQ-ATV-002 - EQUIPE CORRETIVA,65041 - OPERADOR 20,1/2/2025,1/3/2025,15:00:00,00:08:00,09:00:00,"163,32","163,32"
Falha no sistema hidráulico,Manutenção corretiva,CORRETIVA-01-25-0016,#219 - INJETORA A SECO AA #219,EQ-ATV-002 - EQUIPE CORRETIVA,64990 - OPERADOR 15,1/2/2025,1/3/2025,23:30:00,02:00:00,02:30:00,"45,15","45,15"
Falha no sistema hidráulico,Manutenção corretiva,CORRETIVA-01-25-0020,#295 - INJETORA A SECO AA #295,EQ-ATV-002 - EQUIPE CORRETIVA,65273 - OPERADOR 27,1/2/2025,1/3/2025,23:00:00,00:30:00,01:30:00,"26,97","26,97"
Problema no motor da lâmina,Manutenção corretiva,CORRETIVA-01-25-0005,#305 - CORTADEIRA DOBRADEIRA TERMOMECANICA #305,EQ-ATV-002 - EQUIPE CORRETIVA,93454 - OPERADOR 35,1/2/2025,1/2/2025,11:39:00,14:00:00,02:21:00,0,0
Correia desalinhada,Manutenção corretiva,CORRETIVA-01-25-0003,#354 - ESTEIRA BARTEL DT-1800 #354,EQ-ATV-002 - EQUIPE CORRETIVA,65029 - OPERADOR 19,1/2/2025,1/2/2025,09:00:00,10:14:00,01:14:00,"22,42","22,42"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0004,#441 - PRENSA DST NEXTRON #441,EQ-ATV-002 - EQUIPE CORRETIVA,93454 - OPERADOR 35,1/2/2025,1/2/2025,10:05:00,11:35:00,01:30:00,0,0
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0017,#452 - POLITRIZ NOKIA .,EQ-ATV-002 - EQUIPE CORRETIVA,64965 - OPERADOR 11,1/2/2025,1/3/2025,23:00:00,01:00:00,02:00:00,"44,68","44,68"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0001,#678 - FRACIONADORA #678,EQ-ATV-002 - EQUIPE CORRETIVA,93454 - OPERADOR 35,1/2/2025,1/2/2025,07:05:00,10:00:00,02:55:00,0,0
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0061,154-004 - QUEIMADOR,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,1/2/2025,1/2/2025,21:45:00,22:20:00,00:35:00,"13,25","13,25"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0057,154-007 - PAINEL ELÉTRICO E COMANDO,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,1/2/2025,1/2/2025,19:15:00,19:30:00,00:15:00,"5,68","5,68"
Falha no sistema de aquecimento,Manutenção corretiva,CORRETIVA-01-25-0015,190-002 - FORNO ROTATIVO #03,EQ-ATV-002 - EQUIPE CORRETIVA,65272 - OPERADOR 26,1/2/2025,1/2/2025,19:30:00,21:30:00,02:00:00,"36,36","36,36"
Desalinhamento dos rolos,Manutenção corretiva,CORRETIVA-01-25-0041,190-008 - CALANDRA,EQ-ATV-002 - EQUIPE CORRETIVA,93664 - OPERADOR 37,1/2/2025,1/2/2025,08:00:00,17:00:00,09:00:00,0,0
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0033,190-008-023 - PAINEL ELÉTRICO E COMANDO,EQ-ATV-002 - EQUIPE CORRETIVA,93432 - OPERADOR 34,1/2/2025,1/2/2025,07:30:00,08:40:00,01:10:00,0,0
Falha elétrica,Manutenção corretiva,CORRETIVA-01-25-0136,190-008-023 - PAINEL ELÉTRICO E COMANDO,EQ-ATV-002 - EQUIPE CORRETIVA,64941 - OPERADOR 7,1/2/2025,1/2/2025,14:00:00,17:00:00,03:00:00,"109,08","109,08"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0134,192-001-005 - UNIDADE HIDRÁULICA,EQ-ATV-002 - EQUIPE CORRETIVA,64941 - OPERADOR 7,1/2/2025,1/2/2025,07:30:00,13:00:00,05:30:00,"199,98","199,98"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0010,192-002-010 - UNIDADE HIDRÁULICA,EQ-ATV-002 - EQUIPE CORRETIVA,65274 - OPERADOR 28,1/2/2025,1/2/2025,08:00:00,13:00:00,05:00:00,"295,4","295,4"
Falha elétrica,Manutenção corretiva,CORRETIVA-01-25-0134,192-002-010 - UNIDADE HIDRÁULICA,EQ-ATV-002 - EQUIPE CORRETIVA,64941 - OPERADOR 7,1/2/2025,1/2/2025,07:30:00,13:00:00,05:30:00,"199,98","199,98"
Desalinhamento dos rolos,Manutenção corretiva,CORRETIVA-01-25-0041,192-011 - CALANDRA,EQ-ATV-002 - EQUIPE CORRETIVA,93664 - OPERADOR 37,1/2/2025,1/2/2025,08:00:00,17:00:00,09:00:00,0,0
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0056,208-007 - BOBINADOR 1,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,1/2/2025,1/2/2025,18:30:00,19:15:00,00:45:00,"17,04","17,04"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0056,208-010 - UNIDADE HIDRÁULICA,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,1/2/2025,1/2/2025,18:30:00,19:15:00,00:45:00,"17,04","17,04"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0006,219-007 - BOBINADOR 1,EQ-ATV-002 - EQUIPE CORRETIVA,007 - OPERADOR 72,1/2/2025,1/2/2025,08:00:00,12:00:00,04:00:00,0,0
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0055,219-017 - PAINEL ELÉTRICO E COMANDO,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,1/2/2025,1/2/2025,18:10:00,18:30:00,00:20:00,"7,57","7,57"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0002,298-002 - INJEÇÃO,EQ-ATV-002 - EQUIPE CORRETIVA,65029 - OPERADOR 19,1/2/2025,1/2/2025,07:00:00,09:00:00,02:00:00,"36,36","36,36"
Falha elétrica,Manutenção corretiva,CORRETIVA-01-25-0007,298-002 - INJEÇÃO,EQ-ATV-002 - EQUIPE CORRETIVA,64967 - OPERADOR 13,1/2/2025,1/2/2025,07:00:00,10:00:00,03:00:00,"54,54","54,54"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0012,307-005 - BERÇO 04,EQ-ATV-002 - EQUIPE CORRETIVA,64891 - OPERADOR 3,1/2/2025,1/2/2025,15:30:00,16:30:00,01:00:00,"18,18","18,18"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0052,307-016 - PAINEL ELÉTRICO E COMANDO,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,1/2/2025,1/2/2025,17:00:00,17:35:00,00:35:00,"13,25","13,25"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0053,361-014 - PAINEL ELÉTRICO E COMANDO,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,1/2/2025,1/2/2025,17:35:00,17:50:00,00:15:00,"5,68","5,68"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0009,441-005 - CALHAS,EQ-ATV-002 - EQUIPE CORRETIVA,64967 - OPERADOR 13,1/2/2025,1/2/2025,10:00:00,11:00:00,01:00:00,"18,18","18,18"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0036,442-002-007 - MOTOR CA ENROLADOR,EQ-ATV-002 - EQUIPE CORRETIVA,93432 - OPERADOR 34,1/2/2025,1/2/2025,10:30:00,16:00:00,05:30:00,0,0
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0036,442-008 - PRENSA 120 MM,EQ-ATV-002 - EQUIPE CORRETIVA,93432 - OPERADOR 34,1/2/2025,1/2/2025,10:30:00,16:00:00,05:30:00,0,0
Falha elétrica,Manutenção corretiva,CORRETIVA-01-25-0008,442-008 - PRENSA 120 MM,EQ-ATV-002 - EQUIPE CORRETIVA,65029 - OPERADOR 19,1/2/2025,1/2/2025,11:00:00,12:50:00,01:50:00,"33,33","33,33"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0036,442-009 - PRENSA 90 MM,EQ-ATV-002 - EQUIPE CORRETIVA,93432 - OPERADOR 34,1/2/2025,1/2/2025,10:30:00,16:00:00,05:30:00,0,0
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0036,442-009-001 - SISTEMA DE MATÉRIA PRIMA,EQ-ATV-002 - EQUIPE CORRETIVA,93432 - OPERADOR 34,1/2/2025,1/2/2025,10:30:00,16:00:00,05:30:00,0,0
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0036,442-011-002 - TENSIONAMENTO,EQ-ATV-002 - EQUIPE CORRETIVA,93432 - OPERADOR 34,1/2/2025,1/2/2025,10:30:00,16:00:00,05:30:00,0,0
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0035,488-018 - PAINEL ELÉTRICO E COMANDO,EQ-ATV-002 - EQUIPE CORRETIVA,93432 - OPERADOR 34,1/2/2025,1/2/2025,09:50:00,10:20:00,00:30:00,0,0
Falha no sistema de aquecimento,Manutenção corretiva,CORRETIVA-01-25-0010,595-013 - FORNO 1,EQ-ATV-002 - EQUIPE CORRETIVA,65274 - OPERADOR 28,1/2/2025,1/2/2025,08:00:00,13:00:00,05:00:00,"295,4","295,4"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0054,657-006 - PAINEL ELÉTRICO E COMANDO,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,1/2/2025,1/2/2025,17:50:00,18:10:00,00:20:00,"7,57","7,57"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0014,UTIL-124 - CHILLER 240.000 BTU #444 #475 #477 #488,EQ-ATV-002 - EQUIPE CORRETIVA,65272 - OPERADOR 26,1/2/2025,1/2/2025,15:00:00,19:30:00,04:30:00,"136,35","136,35"
Quebra do termopar,Manutenção corretiva,CORRETIVA-01-25-0038,#158 - FORNO MAXIMO,EQ-ATV-002 - EQUIPE CORRETIVA,64967 - OPERADOR 13,1/3/2025,1/3/2025,07:00:00,13:00:00,06:00:00,"109,08","109,08"
Problema no painel elétrico,Manutenção corretiva,CORRETIVA-01-25-0037,#158 - FORNO MAXIMO,EQ-ATV-002 - EQUIPE CORRETIVA,93432 - OPERADOR 34,1/3/2025,1/3/2025,07:00:00,07:30:00,00:30:00,0,0
Desgaste dos mancais,Manutenção corretiva,CORRETIVA-01-25-0023,#190 - CALANDRA  JOB-789 #190,EQ-ATV-002 - EQUIPE CORRETIVA,93545 - OPERADOR 36,1/3/2025,1/5/2025,00:50:00,01:20:00,12:30:00 AM,0,0
Travamento hidráulico,Manutenção corretiva,CORRETIVA-01-25-0026,#190 - CALANDRA  JOB-789 #190,EQ-ATV-002 - EQUIPE CORRETIVA,93545 - OPERADOR 36,1/3/2025,1/3/2025,04:30:00,05:00:00,00:30:00,0,0
Falha no motor principal,Manutenção corretiva,CORRETIVA-12-24-0856,#192 - CALANDRA MINI 813 #192,EQ-ATV-002 - EQUIPE CORRETIVA,65041 - OPERADOR 20,1/3/2025,1/4/2025,23:00:00,06:23:00,07:23:00,"133,93","133,93"
Problema no painel elétrico,Manutenção corretiva,CORRETIVA-01-25-0105,#192 - CALANDRA MINI 813 #192,EQ-ATV-002 - EQUIPE CORRETIVA,93545 - OPERADOR 36,1/3/2025,1/3/2025,05:00:00,06:30:00,01:30:00,"34,08","34,08"
Desgaste dos mancais,Manutenção corretiva,CORRETIVA-01-25-0025,#192 - CALANDRA MINI 813 #192,EQ-ATV-002 - EQUIPE CORRETIVA,93545 - OPERADOR 36,1/3/2025,1/3/2025,03:00:00,03:30:00,00:30:00,0,0
Travamento hidráulico,Manutenção corretiva,CORRETIVA-01-25-0083,#192 - CALANDRA MINI 813 #192,EQ-ATV-002 - EQUIPE CORRETIVA,65027 - OPERADOR 18,1/3/2025,1/3/2025,20:00:00,23:00:00,03:00:00,"54,54","54,54"
Desalinhamento dos rolos,Manutenção corretiva,CORRETIVA-01-25-0082,#192 - CALANDRA MINI 813 #192,EQ-ATV-002 - EQUIPE CORRETIVA,65027 - OPERADOR 18,1/3/2025,1/3/2025,18:00:00,20:00:00,02:00:00,"36,36","36,36"
Falha no motor principal,Manutenção corretiva,CORRETIVA-01-25-0048,#192 - CALANDRA MINI 813 #192,EQ-ATV-002 - EQUIPE CORRETIVA,65027 - OPERADOR 18,1/3/2025,1/3/2025,15:00:00,18:00:00,03:00:00,"54,54","54,54"
Falha no sistema hidráulico,Manutenção corretiva,CORRETIVA-01-25-0024,#211 - INJETORA A SECO AA #211,EQ-ATV-002 - EQUIPE CORRETIVA,93545 - OPERADOR 36,1/3/2025,1/3/2025,02:30:00,03:00:00,00:30:00,0,0
Sensor de temperatura defeituoso,Manutenção corretiva,CORRETIVA-01-25-0044,#295 - INJETORA A SECO AA #295,EQ-ATV-002 - EQUIPE CORRETIVA,93454 - OPERADOR 35,1/3/2025,1/3/2025,11:05:00,13:00:00,01:55:00,0,0
Falha no sistema hidráulico,Manutenção corretiva,CORRETIVA-01-25-0045,#297 - INJETORA SYNCRO F13 - 2,EQ-ATV-002 - EQUIPE CORRETIVA,93454 - OPERADOR 35,1/3/2025,1/3/2025,13:05:00,17:00:00,03:55:00,"72,72","72,72"
Problema no motor da lâmina,Manutenção corretiva,CORRETIVA-01-25-0081,#307 - CORTADEIRA TUBULAR TERMOMECANICA #307,EQ-ATV-002 - EQUIPE CORRETIVA,64919 - OPERADOR 5,1/3/2025,1/3/2025,15:00:00,17:30:00,02:30:00,"45,45","45,45"
Falha no cilindro hidráulico,Manutenção corretiva,CORRETIVA-01-25-0046,#363 - DOBRADEIRA SPAROLLETI - 3,EQ-ATV-002 - EQUIPE CORRETIVA,93454 - OPERADOR 35,1/3/2025,1/3/2025,08:05:00,11:00:00,02:55:00,"53,03","53,03"
Sensor de ângulo defeituoso,Manutenção corretiva,CORRETIVA-01-25-0019,#363 - DOBRADEIRA SPAROLLETI - 3,EQ-ATV-002 - EQUIPE CORRETIVA,93545 - OPERADOR 36,1/3/2025,1/3/2025,00:01:00,00:31:00,00:30:00,0,0
Desgaste nas articulações,Manutenção corretiva,CORRETIVA-01-25-0104,#363 - DOBRADEIRA SPAROLLETI - 3,EQ-ATV-002 - EQUIPE CORRETIVA,93545 - OPERADOR 36,1/3/2025,1/3/2025,01:30:00,02:30:00,01:00:00,0,0
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0029,#446 - PRENSA ROSENDAHL NEXTROM Ø120/24D #446,EQ-ATV-002 - EQUIPE CORRETIVA,64965 - OPERADOR 11,1/3/2025,1/5/2025,01:00:00,15:00:00,2:00:00 PM,"189,33","189,33"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0137,190-001-007 - PAINEL ELÉTRICO E COMANDO,EQ-ATV-002 - EQUIPE CORRETIVA,64941 - OPERADOR 7,1/3/2025,1/3/2025,08:00:00,13:00:00,05:00:00,"327,24","327,24"
Falha no motor principal,Manutenção corretiva,CORRETIVA-01-25-0022,192-011 - CALANDRA,EQ-ATV-002 - EQUIPE CORRETIVA,64989 - OPERADOR 14,1/3/2025,1/3/2025,02:46:00,07:01:00,04:15:00,"76,96","76,96"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0031,192-012-004 - BOMBA DE ÁGUA RESERVA,EQ-ATV-002 - EQUIPE CORRETIVA,93664 - OPERADOR 37,1/3/2025,1/3/2025,06:30:00,17:00:00,10:30:00,0,0
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0083,192-017-003 - GRUA,EQ-ATV-002 - EQUIPE CORRETIVA,65027 - OPERADOR 18,1/3/2025,1/3/2025,20:00:00,23:00:00,03:00:00,"54,54","54,54"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0080,202-010 - UNIDADE HIDRÁULICA,EQ-ATV-002 - EQUIPE CORRETIVA,93170 - OPERADOR 32,1/3/2025,1/3/2025,17:35:00,18:35:00,01:00:00,"18,18","18,18"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0039,202-014 - PAINEL ELÉTRICO E COMANDO,EQ-ATV-002 - EQUIPE CORRETIVA,93432 - OPERADOR 34,1/3/2025,1/3/2025,07:45:00,08:15:00,00:30:00,0,0
Falha elétrica,Manutenção corretiva,CORRETIVA-01-25-0032,208-007 - BOBINADOR 1,EQ-ATV-002 - EQUIPE CORRETIVA,65029 - OPERADOR 19,1/3/2025,1/3/2025,07:00:00,08:05:00,01:05:00,"19,7","19,7"
Falha elétrica,Manutenção corretiva,CORRETIVA-01-25-0021,208-010 - UNIDADE HIDRÁULICA,EQ-ATV-002 - EQUIPE CORRETIVA,65273 - OPERADOR 27,1/3/2025,1/3/2025,04:00:00,06:30:00,02:30:00,"45,45","45,45"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0043,304-007 - CABRESTANTE,EQ-ATV-002 - EQUIPE CORRETIVA,007 - OPERADOR 72,1/3/2025,1/3/2025,11:00:00,12:30:00,01:30:00,0,0
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0049,329-003 - BERÇO,EQ-ATV-002 - EQUIPE CORRETIVA,93170 - OPERADOR 32,1/3/2025,1/3/2025,15:00:00,15:30:00,00:30:00,0,0
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0028,329-003-003 - CABRESTANTE,EQ-ATV-002 - EQUIPE CORRETIVA,65273 - OPERADOR 27,1/3/2025,1/3/2025,00:30:00,02:00:00,01:30:00,"27,27","27,27"
Falha elétrica,Manutenção corretiva,CORRETIVA-01-25-0062,442-009-001 - SISTEMA DE MATÉRIA PRIMA,EQ-ATV-002 - EQUIPE CORRETIVA,64891 - OPERADOR 3,1/3/2025,1/3/2025,23:00:00,23:59:00,00:59:00,"17,88","17,88"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0027,442-011 - CATE DE SAÍDA,EQ-ATV-002 - EQUIPE CORRETIVA,64990 - OPERADOR 15,1/3/2025,1/3/2025,02:00:00,04:00:00,02:00:00,"72,72","72,72"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0042,452-017 - TORNO DE VULCANIZAÇÃO,EQ-ATV-002 - EQUIPE CORRETIVA,66059 - OPERADOR 29,1/3/2025,1/7/2025,08:00:00,17:00:00,9:00:00 AM,"254,52","254,52"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0042,452-018 - SENSORES POSICIONAMENTO ELETRÔNICO SIKORA,EQ-ATV-002 - EQUIPE CORRETIVA,66059 - OPERADOR 29,1/3/2025,1/7/2025,08:00:00,17:00:00,9:00:00 AM,"254,52","254,52"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0063,656-013 - PAINEL ELÉTRICO E COMANDO,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,1/3/2025,1/3/2025,23:00:00,23:25:00,00:25:00,"9,47","9,47"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0040,660-005 - PAINEL ELÉTRICO E COMANDO,EQ-ATV-002 - EQUIPE CORRETIVA,93432 - OPERADOR 34,1/3/2025,1/3/2025,08:45:00,09:15:00,00:30:00,0,0
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0050,UTIL-125 - CHILLER 240.000 BTU #444 #475 #477 #488,EQ-ATV-002 - EQUIPE CORRETIVA,65272 - OPERADOR 26,1/3/2025,1/4/2025,23:00:00,03:00:00,04:00:00,"126,96","126,96"
Vazamento de gás,Manutenção corretiva,CORRETIVA-01-25-0065,#158 - FORNO MAXIMO,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,1/4/2025,1/4/2025,00:10:00,00:35:00,00:25:00,"9,47","9,47"
Desalinhamento dos rolos,Manutenção corretiva,CORRETIVA-01-25-0087,#190 - CALANDRA  JOB-789 #190,EQ-ATV-002 - EQUIPE CORRETIVA,65041 - OPERADOR 20,1/4/2025,1/5/2025,23:00:00,06:28:00,07:28:00,"135,44","135,44"
Falha no motor principal,Manutenção corretiva,CORRETIVA-01-25-0073,#190 - CALANDRA  JOB-789 #190,EQ-ATV-002 - EQUIPE CORRETIVA,93454 - OPERADOR 35,1/4/2025,1/4/2025,08:04:00,09:30:00,01:26:00,0,0
Problema no painel elétrico,Manutenção corretiva,CORRETIVA-01-25-0086,#190 - CALANDRA  JOB-789 #190,EQ-ATV-002 - EQUIPE CORRETIVA,65027 - OPERADOR 18,1/4/2025,1/4/2025,21:00:00,23:00:00,02:00:00,"36,36","36,36"
Desgaste dos mancais,Manutenção corretiva,CORRETIVA-01-25-0084,#190 - CALANDRA  JOB-789 #190,EQ-ATV-002 - EQUIPE CORRETIVA,65027 - OPERADOR 18,1/4/2025,1/4/2025,15:00:00,18:00:00,03:00:00,"54,54","54,54"
Problema no painel elétrico,Manutenção corretiva,CORRETIVA-01-25-0087,#192 - CALANDRA MINI 813 #192,EQ-ATV-002 - EQUIPE CORRETIVA,65041 - OPERADOR 20,1/4/2025,1/5/2025,23:00:00,06:28:00,07:28:00,"135,44","135,44"
Desgaste dos mancais,Manutenção corretiva,CORRETIVA-01-25-0085,#192 - CALANDRA MINI 813 #192,EQ-ATV-002 - EQUIPE CORRETIVA,65027 - OPERADOR 18,1/4/2025,1/4/2025,18:00:00,21:00:00,03:00:00,"54,54","54,54"
Travamento hidráulico,Manutenção corretiva,CORRETIVA-01-25-0084,#192 - CALANDRA MINI 813 #192,EQ-ATV-002 - EQUIPE CORRETIVA,65027 - OPERADOR 18,1/4/2025,1/4/2025,15:00:00,18:00:00,03:00:00,"54,54","54,54"
Desalinhamento dos rolos,Manutenção corretiva,CORRETIVA-01-25-0071,#192 - CALANDRA MINI 813 #192,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,1/4/2025,1/4/2025,04:40:00,06:20:00,01:40:00,"37,87","37,87"
Falha no sistema hidráulico,Manutenção corretiva,CORRETIVA-01-25-0074,#208 - INJETORA A SECO BB T-50-35 #208,EQ-ATV-002 - EQUIPE CORRETIVA,93454 - OPERADOR 35,1/4/2025,1/4/2025,09:35:00,11:30:00,01:55:00,0,0
Falha elétrica,Manutenção corretiva,CORRETIVA-01-25-0077,#452 - POLITRIZ NOKIA .,EQ-ATV-002 - EQUIPE CORRETIVA,93454 - OPERADOR 35,1/4/2025,1/4/2025,11:35:00,15:00:00,03:25:00,0,0
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0068,#668 - FRACIONADORA - EMBALADORA,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,1/4/2025,1/4/2025,03:00:00,03:20:00,00:20:00,"7,57","7,57"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0066,190-005-004 - SISTEMA REFRIGERAÇÃO,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,1/4/2025,1/4/2025,00:35:00,01:10:00,00:35:00,"13,25","13,25"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0086,190-010-003 - PIT ROOL,EQ-ATV-002 - EQUIPE CORRETIVA,65027 - OPERADOR 18,1/4/2025,1/4/2025,21:00:00,23:00:00,02:00:00,"36,36","36,36"
Falha no sistema de aquecimento,Manutenção corretiva,CORRETIVA-01-25-0071,192-001 - FORNO INDUÇÃO #1,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,1/4/2025,1/4/2025,04:40:00,06:20:00,01:40:00,"37,87","37,87"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0091,192-002-012 - PAINEL ELÉTRICO E COMANDO,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,1/4/2025,1/5/2025,23:00:00,01:00:00,02:00:00,"45,06","45,06"
Falha no sistema de aquecimento,Manutenção corretiva,CORRETIVA-01-25-0091,192-003 - FORNO VULCAN #3,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,1/4/2025,1/5/2025,23:00:00,01:00:00,02:00:00,"45,06","45,06"
Problema no painel elétrico,Manutenção corretiva,CORRETIVA-01-25-0091,192-011 - CALANDRA,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,1/4/2025,1/5/2025,23:00:00,01:00:00,02:00:00,"45,06","45,06"
Superaquecimento,Manutenção corretiva,CORRETIVA-01-25-0110,208-007 - BOBINADOR 1,EQ-ATV-002 - EQUIPE CORRETIVA,65090 - OPERADOR 22,1/4/2025,1/4/2025,14:00:00,18:00:00,04:00:00,"68,16","68,16"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0112,211-008 - BOBINADOR 2,EQ-ATV-002 - EQUIPE CORRETIVA,65090 - OPERADOR 22,1/4/2025,1/4/2025,19:00:00,20:00:00,01:00:00,"22,72","22,72"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0111,219-006 - ESPALHADOR,EQ-ATV-002 - EQUIPE CORRETIVA,65090 - OPERADOR 22,1/4/2025,1/4/2025,18:00:00,19:00:00,01:00:00,"22,72","22,72"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0070,295-005 - CARRO DE TRANSFERÊNCIA,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,1/4/2025,1/4/2025,04:10:00,04:40:00,00:30:00,"11,36","11,36"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0070,295-007 - BOBINADOR 1,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,1/4/2025,1/4/2025,04:10:00,04:40:00,00:30:00,"11,36","11,36"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0070,295-008 - BOBINADOR 2,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,1/4/2025,1/4/2025,04:10:00,04:40:00,00:30:00,"11,36","11,36"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0078,298-001 - TORRE DE RESFRIAMENTO,EQ-ATV-002 - EQUIPE CORRETIVA,93170 - OPERADOR 32,1/4/2025,1/4/2025,15:30:00,16:00:00,00:30:00,"9,09","9,09"
