FORNECEDOR,Valor/moeda objeto,Data de lançamento,,,NOME TRANSPORTADORA,VALOR
TRANSPORTADORA COMBINADA,"  548,08 ",7/19/2025,,,,
TRANSPORTADORA COMBINADA,"  543,83 ",7/5/2025,,,,
TRANSPORTADORA COMBINADA,"  540,91 ",7/25/2025,,,,
TRANSPORTADORA COMBINADA,"  523,39 ",7/24/2025,,,,
TRANSPORTADORA COMBINADA,"  521,07 ",7/8/2025,,,,
TRANSPORTADORA COMBINADA,"  473,06 ",7/12/2025,,,,
TRANSPORTADORA COMBINADA,"  459,02 ",7/5/2025,,,,
TRANSPORTADORA COMBINADA,"  458,50 ",7/26/2025,,,,
TRANSPORTADORA COMBINADA,"  455,78 ",7/30/2025,,,,
TRANSPORTADORA COMBINADA,"  444,06 ",7/4/2025,,,,
TRANSPORTADORA COMBINADA,"  436,80 ",7/3/2025,,,,
TRANSPORTADORA COMBINADA,"  430,73 ",7/5/2025,,,,
TRANSPORTADORA COMBINADA,"  426,15 ",7/5/2025,,,,
TRANSPORTADORA COMBINADA,"  423,01 ",7/30/2025,,,,
TRANSPORTADORA COMBINADA,"  418,35 ",7/23/2025,,,,
TRANSPORTADORA COMBINADA,"  418,13 ",7/12/2025,,,,
TRANSPORTADORA COMBINADA,"  394,72 ",7/4/2025,,,,
TRANSPORTADORA COMBINADA,"  368,19 ",7/23/2025,,,,
TRANSPORTADORA COMBINADA,"  363,81 ",7/11/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  350,83 ",7/23/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  348,97 ",7/16/2025,,,,
TRANSPORTADORA COMBINADA,"  332,20 ",7/19/2025,,,,
TRANSPORTADORA COMBINADA,"  324,81 ",7/2/2025,,,,
TRANSPORTADORA COMBINADA,"  312,03 ",7/1/2025,,,,
TRANSPORTADORA COMBINADA,"  299,69 ",7/2/2025,,,,
TRANSPORTADORA COMBINADA,"  292,26 ",7/25/2025,,,,
TRANSPORTADORA COMBINADA,"  285,97 ",7/19/2025,,,,
TRANSPORTADORA COMBINADA,"  285,43 ",7/2/2025,,,,
TRANSPORTADORA COMBINADA,"  284,84 ",7/5/2025,,,,
TRANSPORTADORA COMBINADA,"  282,09 ",7/25/2025,,,,
TRANSPORTADORA COMBINADA,"  281,88 ",7/4/2025,,,,
TRANSPORTADORA COMBINADA,"  280,90 ",7/12/2025,,,,
TRANSPORTADORA COMBINADA,"  279,03 ",7/10/2025,,,,
TRANSPORTADORA COMBINADA,"  278,97 ",7/10/2025,,,,
TRANSPORTADORA COMBINADA,"  278,15 ",7/2/2025,,,,
TRANSPORTADORA COMBINADA,"  277,90 ",7/8/2025,,,,
TRANSPORTADORA COMBINADA,"  274,89 ",7/16/2025,,,,
TRANSPORTADORA COMBINADA,"  274,74 ",7/26/2025,,,,
TRANSPORTADORA COMBINADA,"  274,38 ",7/19/2025,,,,
TRANSPORTADORA COMBINADA,"  274,08 ",7/2/2025,,,,
TRANSPORTADORA COMBINADA,"  273,89 ",7/16/2025,,,,
TRANSPORTADORA COMBINADA,"  272,99 ",7/2/2025,,,,
TRANSPORTADORA COMBINADA,"  272,83 ",7/10/2025,,,,
TRANSPORTADORA COMBINADA,"  271,48 ",7/16/2025,,,,
TRANSPORTADORA COMBINADA,"  270,91 ",7/4/2025,,,,
TRANSPORTADORA COMBINADA,"  269,76 ",7/2/2025,,,,
DEMAIS TRANSPORTADORAS,"  263,69 ",7/12/2025,,,,
TRANSPORTADORA COMBINADA,"  0,01 ",7/22/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  1.003,39 ",8/30/2025,,,,
TRANSPORTADORA COMBINADA,"  481,72 ",8/30/2025,,,,
TRANSPORTADORA COMBINADA,"  279,86 ",8/27/2025,,,,
TRANSPORTADORA COMBINADA,"  503,78 ",8/26/2025,,,,
TRANSPORTADORA COMBINADA,"  337,55 ",8/26/2025,,,,
TRANSPORTADORA COMBINADA,"  283,50 ",8/26/2025,,,,
TRANSPORTADORA COMBINADA,"  271,58 ",8/26/2025,,,,
DEMAIS TRANSPORTADORAS,"  1.626,18 ",8/25/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  1.003,39 ",8/23/2025,,,,
TRANSPORTADORA COMBINADA,"  381,42 ",8/23/2025,,,,
TRANSPORTADORA COMBINADA,"  292,43 ",8/23/2025,,,,
TRANSPORTADORA COMBINADA,"  433,20 ",8/20/2025,,,,
TRANSPORTADORA COMBINADA,"  332,94 ",8/20/2025,,,,
TRANSPORTADORA COMBINADA,"  288,45 ",8/20/2025,,,,
TRANSPORTADORA COMBINADA,"  287,26 ",8/20/2025,,,,
TRANSPORTADORA COMBINADA,"  284,93 ",8/20/2025,,,,
TRANSPORTADORA COMBINADA,"  283,39 ",8/20/2025,,,,
TRANSPORTADORA COMBINADA,"  276,33 ",8/20/2025,,,,
TRANSPORTADORA COMBINADA,"  272,09 ",8/20/2025,,,,
DEMAIS TRANSPORTADORAS,"  2.924,01 ",8/19/2025,,,,
DEMAIS TRANSPORTADORAS,"  1.686,85 ",8/19/2025,,,,
TRANSPORTADORA COMBINADA,"  713,26 ",8/19/2025,,,,
TRANSPORTADORA COMBINADA,"  444,35 ",8/19/2025,,,,
TRANSPORTADORA COMBINADA,"  422,26 ",8/19/2025,,,,
TRANSPORTADORA COMBINADA,"  421,98 ",8/19/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  884,83 ",8/16/2025,,,,
TRANSPORTADORA COMBINADA,"  304,98 ",8/16/2025,,,,
TRANSPORTADORA COMBINADA,"  493,74 ",8/14/2025,,,,
TRANSPORTADORA COMBINADA,"  278,55 ",8/14/2025,,,,
TRANSPORTADORA COMBINADA,"  271,72 ",8/14/2025,,,,
TRANSPORTADORA COMBINADA,"  270,81 ",8/14/2025,,,,
TRANSPORTADORA COMBINADA,"  468,52 ",8/13/2025,,,,
TRANSPORTADORA COMBINADA,"  277,07 ",8/13/2025,,,,
TRANSPORTADORA COMBINADA,"  276,64 ",8/13/2025,,,,
TRANSPORTADORA COMBINADA,"  273,17 ",8/13/2025,,,,
TRANSPORTADORA COMBINADA,"  271,28 ",8/13/2025,,,,
TRANSPORTADORA COMBINADA,"  363,78 ",8/9/2025,,,,
TRANSPORTADORA COMBINADA,"  289,33 ",8/9/2025,,,,
TRANSPORTADORA COMBINADA,"  273,36 ",8/9/2025,,,,
TRANSPORTADORA COMBINADA,"  349,69 ",8/7/2025,,,,
TRANSPORTADORA COMBINADA,"  334,45 ",8/7/2025,,,,
TRANSPORTADORA COMBINADA,"  304,94 ",8/7/2025,,,,
TRANSPORTADORA COMBINADA,"  281,80 ",8/7/2025,,,,
TRANSPORTADORA COMBINADA,"  269,48 ",8/7/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  699,67 ",8/5/2025,,,,
TRANSPORTADORA COMBINADA,"  423,92 ",8/5/2025,,,,
TRANSPORTADORA COMBINADA,"  422,93 ",8/5/2025,,,,
TRANSPORTADORA COMBINADA,"  421,44 ",8/5/2025,,,,
TRANSPORTADORA COMBINADA,"  288,63 ",8/5/2025,,,,
TRANSPORTADORA COMBINADA,"  280,28 ",8/5/2025,,,,
TRANSPORTADORA COMBINADA,"  269,94 ",8/5/2025,,,,
TRANSPORTADORA COMBINADA,"  600,18 ",8/2/2025,,,,
DEMAIS TRANSPORTADORAS,"  8.777,36 ",9/11/2025,,,,
DEMAIS TRANSPORTADORAS,"  7.614,75 ",9/23/2025,,,,
TRANSPORTADORA COMBINADA,"  2.420,81 ",9/20/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  2.418,18 ",9/16/2025,,,,
TRANSPORTADORA COMBINADA,"  2.070,76 ",9/9/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  1.190,00 ",9/10/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  1.003,40 ",9/30/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  1.003,40 ",9/17/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  884,83 ",9/2/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  884,83 ",9/30/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  884,83 ",9/23/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  884,83 ",9/17/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  743,00 ",9/20/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  584,02 ",9/19/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  569,44 ",9/23/2025,,,,
TRANSPORTADORA COMBINADA,"  568,09 ",9/28/2025,,,,
TRANSPORTADORA COMBINADA,"  540,91 ",9/20/2025,,,,
TRANSPORTADORA COMBINADA,"  540,91 ",9/4/2025,,,,
TRANSPORTADORA COMBINADA,"  529,26 ",9/9/2025,,,,
TRANSPORTADORA COMBINADA,"  473,76 ",9/9/2025,,,,
TRANSPORTADORA COMBINADA,"  462,08 ",9/9/2025,,,,
TRANSPORTADORA COMBINADA,"  454,88 ",9/9/2025,,,,
TRANSPORTADORA COMBINADA,"  447,50 ",9/9/2025,,,,
TRANSPORTADORA COMBINADA,"  436,57 ",9/9/2025,,,,
TRANSPORTADORA COMBINADA,"  435,23 ",9/11/2025,,,,
TRANSPORTADORA COMBINADA,"  434,60 ",9/18/2025,,,,
TRANSPORTADORA COMBINADA,"  428,48 ",9/9/2025,,,,
TRANSPORTADORA COMBINADA,"  424,44 ",9/24/2025,,,,
TRANSPORTADORA COMBINADA,"  424,09 ",9/9/2025,,,,
TRANSPORTADORA COMBINADA,"  422,88 ",9/9/2025,,,,
TRANSPORTADORA COMBINADA,"  422,65 ",9/9/2025,,,,
TRANSPORTADORA COMBINADA,"  420,23 ",9/9/2025,,,,
TRANSPORTADORA COMBINADA,"  419,61 ",9/9/2025,,,,
TRANSPORTADORA COMBINADA,"  418,24 ",9/18/2025,,,,
TRANSPORTADORA COMBINADA,"  417,03 ",9/9/2025,,,,
TRANSPORTADORA COMBINADA,"  349,28 ",9/4/2025,,,,
TRANSPORTADORA COMBINADA,"  336,40 ",9/28/2025,,,,
TRANSPORTADORA COMBINADA,"  327,65 ",9/16/2025,,,,
TRANSPORTADORA COMBINADA,"  323,85 ",9/11/2025,,,,
TRANSPORTADORA COMBINADA,"  318,45 ",9/9/2025,,,,
TRANSPORTADORA COMBINADA,"  316,20 ",9/4/2025,,,,
TRANSPORTADORA COMBINADA,"  311,86 ",9/17/2025,,,,
TRANSPORTADORA COMBINADA,"  303,23 ",9/4/2025,,,,
TRANSPORTADORA COMBINADA,"  302,49 ",9/16/2025,,,,
TRANSPORTADORA COMBINADA,"  290,68 ",9/28/2025,,,,
TRANSPORTADORA COMBINADA,"  286,06 ",9/16/2025,,,,
TRANSPORTADORA COMBINADA,"  285,23 ",9/24/2025,,,,
TRANSPORTADORA COMBINADA,"  284,57 ",9/18/2025,,,,
TRANSPORTADORA COMBINADA,"  284,07 ",9/18/2025,,,,
TRANSPORTADORA COMBINADA,"  280,45 ",9/20/2025,,,,
TRANSPORTADORA COMBINADA,"  279,17 ",9/28/2025,,,,
TRANSPORTADORA COMBINADA,"  278,22 ",9/19/2025,,,,
TRANSPORTADORA COMBINADA,"  277,43 ",9/4/2025,,,,
TRANSPORTADORA COMBINADA,"  276,91 ",9/4/2025,,,,
TRANSPORTADORA COMBINADA,"  276,18 ",9/19/2025,,,,
TRANSPORTADORA COMBINADA,"  275,05 ",9/19/2025,,,,
TRANSPORTADORA COMBINADA,"  274,77 ",9/28/2025,,,,
TRANSPORTADORA COMBINADA,"  274,42 ",9/28/2025,,,,
TRANSPORTADORA COMBINADA,"  274,16 ",9/4/2025,,,,
TRANSPORTADORA COMBINADA,"  273,84 ",9/9/2025,,,,
TRANSPORTADORA COMBINADA,"  270,58 ",9/18/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  166,62 ",9/20/2025,,,,
DEMAIS TRANSPORTADORAS,"  6.634,48 ",9/25/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  2.418,18 ",9/21/2025,,,,
TRANSPORTADORA COMBINADA,"  2.236,61 ",9/24/2025,,,,
TRANSPORTADORA COMBINADA,"  2.103,89 ",9/16/2025,,,,
DEMAIS TRANSPORTADORAS,"  1.650,80 ",9/16/2025,,,,
DEMAIS TRANSPORTADORAS,"  1.616,87 ",9/3/2025,,,,
TRANSPORTADORA COMBINADA,"  1.102,75 ",9/8/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  1.011,65 ",9/11/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  1.011,65 ",9/21/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  905,87 ",9/16/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  898,11 ",9/11/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  884,83 ",9/21/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  884,83 ",9/14/2025,,,,
TRANSPORTADORA COMBINADA,"  625,42 ",9/21/2025,,,,
TRANSPORTADORA COMBINADA,"  622,90 ",9/8/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  583,14 ",9/1/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  583,05 ",9/7/2025,,,,
TRANSPORTADORA COMBINADA,"  568,90 ",9/21/2025,,,,
TRANSPORTADORA COMBINADA,"  563,08 ",9/16/2025,,,,
DEMAIS TRANSPORTADORAS,"  562,64 ",9/16/2025,,,,
TRANSPORTADORA COMBINADA,"  519,90 ",9/7/2025,,,,
TRANSPORTADORA COMBINADA,"  499,94 ",9/8/2025,,,,
TRANSPORTADORA COMBINADA,"  479,66 ",9/24/2025,,,,
TRANSPORTADORA COMBINADA,"  469,63 ",9/22/2025,,,,
TRANSPORTADORA COMBINADA,"  468,11 ",9/21/2025,,,,
TRANSPORTADORA COMBINADA,"  466,01 ",9/7/2025,,,,
TRANSPORTADORA COMBINADA,"  461,05 ",9/7/2025,,,,
TRANSPORTADORA COMBINADA,"  449,01 ",9/8/2025,,,,
TRANSPORTADORA COMBINADA,"  444,02 ",9/17/2025,,,,
TRANSPORTADORA COMBINADA,"  441,51 ",9/21/2025,,,,
TRANSPORTADORA COMBINADA,"  439,24 ",9/25/2025,,,,
TRANSPORTADORA COMBINADA,"  425,42 ",9/17/2025,,,,
TRANSPORTADORA COMBINADA,"  424,19 ",9/17/2025,,,,
TRANSPORTADORA COMBINADA,"  424,02 ",9/17/2025,,,,
TRANSPORTADORA COMBINADA,"  422,49 ",9/21/2025,,,,
TRANSPORTADORA COMBINADA,"  419,61 ",9/17/2025,,,,
TRANSPORTADORA COMBINADA,"  419,19 ",9/17/2025,,,,
TRANSPORTADORA COMBINADA,"  418,44 ",9/17/2025,,,,
TRANSPORTADORA COMBINADA,"  418,02 ",9/17/2025,,,,
TRANSPORTADORA COMBINADA,"  414,43 ",9/10/2025,,,,
TRANSPORTADORA COMBINADA,"  413,66 ",9/16/2025,,,,
DEMAIS TRANSPORTADORAS,"  394,27 ",9/21/2025,,,,
TRANSPORTADORA COMBINADA,"  389,59 ",9/21/2025,,,,
TRANSPORTADORA COMBINADA,"  385,84 ",9/1/2025,,,,
TRANSPORTADORA COMBINADA,"  378,38 ",9/17/2025,,,,
TRANSPORTADORA COMBINADA,"  362,25 ",9/14/2025,,,,
TRANSPORTADORA COMBINADA,"  351,19 ",9/10/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  348,97 ",9/21/2025,,,,
TRANSPORTADORA COMBINADA,"  340,90 ",9/8/2025,,,,
TRANSPORTADORA COMBINADA,"  334,24 ",9/9/2025,,,,
TRANSPORTADORA COMBINADA,"  332,74 ",9/25/2025,,,,
TRANSPORTADORA COMBINADA,"  331,91 ",9/8/2025,,,,
TRANSPORTADORA COMBINADA,"  329,26 ",9/8/2025,,,,
TRANSPORTADORA COMBINADA,"  319,40 ",9/16/2025,,,,
TRANSPORTADORA COMBINADA,"  318,05 ",9/10/2025,,,,
TRANSPORTADORA COMBINADA,"  315,35 ",9/8/2025,,,,
TRANSPORTADORA COMBINADA,"  314,94 ",9/25/2025,,,,
TRANSPORTADORA COMBINADA,"  311,57 ",9/24/2025,,,,
TRANSPORTADORA COMBINADA,"  308,77 ",9/10/2025,,,,
TRANSPORTADORA COMBINADA,"  306,53 ",9/24/2025,,,,
TRANSPORTADORA COMBINADA,"  306,43 ",9/24/2025,,,,
TRANSPORTADORA COMBINADA,"  304,47 ",9/30/2025,,,,
TRANSPORTADORA COMBINADA,"  303,30 ",9/8/2025,,,,
TRANSPORTADORA COMBINADA,"  301,75 ",9/8/2025,,,,
TRANSPORTADORA COMBINADA,"  301,48 ",9/17/2025,,,,
TRANSPORTADORA COMBINADA,"  299,89 ",9/25/2025,,,,
TRANSPORTADORA COMBINADA,"  299,43 ",9/8/2025,,,,
TRANSPORTADORA COMBINADA,"  298,95 ",9/24/2025,,,,
TRANSPORTADORA COMBINADA,"  298,78 ",9/1/2025,,,,
TRANSPORTADORA COMBINADA,"  298,73 ",9/25/2025,,,,
TRANSPORTADORA COMBINADA,"  298,34 ",9/24/2025,,,,
TRANSPORTADORA COMBINADA,"  297,97 ",9/14/2025,,,,
TRANSPORTADORA COMBINADA,"  297,30 ",9/7/2025,,,,
TRANSPORTADORA COMBINADA,"  296,34 ",9/8/2025,,,,
TRANSPORTADORA COMBINADA,"  295,72 ",9/8/2025,,,,
TRANSPORTADORA COMBINADA,"  295,03 ",9/16/2025,,,,
TRANSPORTADORA COMBINADA,"  294,81 ",9/14/2025,,,,
TRANSPORTADORA COMBINADA,"  294,44 ",9/14/2025,,,,
TRANSPORTADORA COMBINADA,"  288,76 ",9/16/2025,,,,
TRANSPORTADORA COMBINADA,"  285,20 ",9/16/2025,,,,
TRANSPORTADORA COMBINADA,"  282,48 ",9/16/2025,,,,
TRANSPORTADORA COMBINADA,"  282,15 ",9/1/2025,,,,
TRANSPORTADORA COMBINADA,"  277,43 ",9/8/2025,,,,
TRANSPORTADORA COMBINADA,"  277,39 ",9/8/2025,,,,
TRANSPORTADORA COMBINADA,"  276,89 ",9/8/2025,,,,
TRANSPORTADORA COMBINADA,"  274,82 ",9/1/2025,,,,
TRANSPORTADORA COMBINADA,"  271,98 ",9/16/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  166,62 ",9/22/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  0,01 ",9/21/2025,,,,
TRANSPORTADORA COMBINADA,"  3.294,58 ",8/4/2025,,,,
TRANSPORTADORA COMBINADA,"  2.558,03 ",8/8/2025,,,,
TRANSPORTADORA COMBINADA,"  2.556,78 ",8/1/2025,,,,
DEMAIS TRANSPORTADORAS,"  2.502,47 ",8/28/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  2.418,18 ",8/13/2025,,,,
DEMAIS TRANSPORTADORAS,"  2.102,97 ",8/30/2025,,,,
DEMAIS TRANSPORTADORAS,"  2.099,27 ",8/30/2025,,,,
DEMAIS TRANSPORTADORAS,"  2.003,76 ",8/30/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  1.011,65 ",8/13/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  1.006,39 ",8/5/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  1.006,39 ",8/30/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  905,97 ",8/8/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  905,97 ",8/5/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  884,83 ",8/13/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  884,83 ",8/13/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  884,83 ",8/13/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  884,83 ",8/13/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  884,83 ",8/7/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  884,83 ",8/1/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  884,83 ",8/30/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  884,83 ",8/30/2025,,,,
TRANSPORTADORA COMBINADA,"  820,99 ",8/8/2025,,,,
TRANSPORTADORA COMBINADA,"  699,76 ",8/9/2025,,,,
DEMAIS TRANSPORTADORAS,"  596,16 ",8/30/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  583,05 ",8/13/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  583,05 ",8/13/2025,,,,
TRANSPORTADORA COMBINADA,"  581,57 ",8/9/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  569,44 ",8/22/2025,,,,
DEMAIS TRANSPORTADORAS,"  562,64 ",8/8/2025,,,,
TRANSPORTADORA COMBINADA,"  553,44 ",8/9/2025,,,,
TRANSPORTADORA COMBINADA,"  539,91 ",8/4/2025,,,,
TRANSPORTADORA COMBINADA,"  500,93 ",8/18/2025,,,,
TRANSPORTADORA COMBINADA,"  496,30 ",8/9/2025,,,,
TRANSPORTADORA COMBINADA,"  487,02 ",8/9/2025,,,,
TRANSPORTADORA COMBINADA,"  484,82 ",8/30/2025,,,,
TRANSPORTADORA COMBINADA,"  484,19 ",8/4/2025,,,,
TRANSPORTADORA COMBINADA,"  480,81 ",8/9/2025,,,,
TRANSPORTADORA COMBINADA,"  472,51 ",8/5/2025,,,,
TRANSPORTADORA COMBINADA,"  471,59 ",8/9/2025,,,,
TRANSPORTADORA COMBINADA,"  467,13 ",8/4/2025,,,,
TRANSPORTADORA COMBINADA,"  465,16 ",8/4/2025,,,,
TRANSPORTADORA COMBINADA,"  461,80 ",8/9/2025,,,,
TRANSPORTADORA COMBINADA,"  459,72 ",8/9/2025,,,,
TRANSPORTADORA COMBINADA,"  459,50 ",8/8/2025,,,,
TRANSPORTADORA COMBINADA,"  455,27 ",8/30/2025,,,,
TRANSPORTADORA COMBINADA,"  431,70 ",8/9/2025,,,,
TRANSPORTADORA COMBINADA,"  426,47 ",8/4/2025,,,,
TRANSPORTADORA COMBINADA,"  413,70 ",8/9/2025,,,,
TRANSPORTADORA COMBINADA,"  387,26 ",8/12/2025,,,,
TRANSPORTADORA COMBINADA,"  358,38 ",8/22/2025,,,,
TRANSPORTADORA COMBINADA,"  355,93 ",8/4/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  348,97 ",8/13/2025,,,,
TRANSPORTADORA COMBINADA,"  347,70 ",8/8/2025,,,,
TRANSPORTADORA COMBINADA,"  343,34 ",8/8/2025,,,,
TRANSPORTADORA COMBINADA,"  336,58 ",8/18/2025,,,,
TRANSPORTADORA COMBINADA,"  332,94 ",8/12/2025,,,,
TRANSPORTADORA COMBINADA,"  330,48 ",8/8/2025,,,,
TRANSPORTADORA COMBINADA,"  322,20 ",8/8/2025,,,,
TRANSPORTADORA COMBINADA,"  317,52 ",8/9/2025,,,,
TRANSPORTADORA COMBINADA,"  317,14 ",8/25/2025,,,,
TRANSPORTADORA COMBINADA,"  314,09 ",8/12/2025,,,,
TRANSPORTADORA COMBINADA,"  313,45 ",8/9/2025,,,,
TRANSPORTADORA COMBINADA,"  311,32 ",8/22/2025,,,,
TRANSPORTADORA COMBINADA,"  310,18 ",8/8/2025,,,,
TRANSPORTADORA COMBINADA,"  305,40 ",8/21/2025,,,,
TRANSPORTADORA COMBINADA,"  302,94 ",8/4/2025,,,,
TRANSPORTADORA COMBINADA,"  302,27 ",8/9/2025,,,,
TRANSPORTADORA COMBINADA,"  302,10 ",8/18/2025,,,,
TRANSPORTADORA COMBINADA,"  302,00 ",8/12/2025,,,,
TRANSPORTADORA COMBINADA,"  298,77 ",8/13/2025,,,,
TRANSPORTADORA COMBINADA,"  298,66 ",8/22/2025,,,,
TRANSPORTADORA COMBINADA,"  297,01 ",8/22/2025,,,,
TRANSPORTADORA COMBINADA,"  296,84 ",8/26/2025,,,,
TRANSPORTADORA COMBINADA,"  296,80 ",8/8/2025,,,,
TRANSPORTADORA COMBINADA,"  296,72 ",8/9/2025,,,,
TRANSPORTADORA COMBINADA,"  296,34 ",8/22/2025,,,,
TRANSPORTADORA COMBINADA,"  295,19 ",8/8/2025,,,,
TRANSPORTADORA COMBINADA,"  294,56 ",8/9/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  166,63 ",8/22/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  166,62 ",8/20/2025,,,,
TRANSPORTADORA COMBINADA,"  311,35 ",1/30/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  884,83 ",1/27/2025,,,,
TRANSPORTADORA COMBINADA,"  472,16 ",1/26/2025,,,,
TRANSPORTADORA COMBINADA,"  311,66 ",1/26/2025,,,,
TRANSPORTADORA COMBINADA,"  3.315,78 ",1/23/2025,,,,
DEMAIS TRANSPORTADORAS,"  2.925,00 ",1/23/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  2.418,18 ",1/23/2025,,,,
DEMAIS TRANSPORTADORAS,"  2.250,00 ",1/23/2025,,,,
DEMAIS TRANSPORTADORAS,"  2.081,88 ",1/23/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  884,83 ",1/23/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  884,83 ",1/23/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  884,83 ",1/23/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  569,44 ",1/23/2025,,,,
TRANSPORTADORA COMBINADA,"  485,74 ",1/23/2025,,,,
TRANSPORTADORA COMBINADA,"  477,82 ",1/23/2025,,,,
TRANSPORTADORA COMBINADA,"  457,15 ",1/23/2025,,,,
TRANSPORTADORA COMBINADA,"  412,35 ",1/23/2025,,,,
TRANSPORTADORA COMBINADA,"  469,89 ",1/18/2025,,,,
TRANSPORTADORA COMBINADA,"  465,41 ",1/18/2025,,,,
TRANSPORTADORA COMBINADA,"  465,16 ",1/18/2025,,,,
TRANSPORTADORA COMBINADA,"  430,05 ",1/18/2025,,,,
TRANSPORTADORA COMBINADA,"  400,27 ",1/18/2025,,,,
TRANSPORTADORA COMBINADA,"  350,57 ",1/18/2025,,,,
TRANSPORTADORA COMBINADA,"  312,58 ",1/18/2025,,,,
TRANSPORTADORA COMBINADA,"  296,27 ",1/18/2025,,,,
TRANSPORTADORA COMBINADA,"  511,10 ",1/17/2025,,,,
TRANSPORTADORA COMBINADA,"  507,16 ",1/17/2025,,,,
TRANSPORTADORA COMBINADA,"  304,48 ",1/16/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  714,46 ",1/13/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  1.011,65 ",1/12/2025,,,,
DEMAIS TRANSPORTADORAS,"  663,70 ",1/12/2025,,,,
TRANSPORTADORA COMBINADA,"  472,24 ",1/12/2025,,,,
DEMAIS TRANSPORTADORAS,"  170,45 ",1/12/2025,,,,
DEMAIS TRANSPORTADORAS,"  6.141,17 ",1/10/2025,,,,
TRANSPORTADORA COMBINADA,"  3.288,60 ",1/10/2025,,,,
TRANSPORTADORA COMBINADA,"  3.025,74 ",1/10/2025,,,,
TRANSPORTADORA COMBINADA,"  2.240,53 ",1/10/2025,,,,
TRANSPORTADORA COMBINADA,"  2.236,61 ",1/10/2025,,,,
DEMAIS TRANSPORTADORAS,"  2.047,79 ",1/10/2025,,,,
DEMAIS TRANSPORTADORAS,"  1.957,81 ",1/10/2025,,,,
DEMAIS TRANSPORTADORAS,"  1.881,65 ",1/10/2025,,,,
DEMAIS TRANSPORTADORAS,"  1.704,55 ",1/10/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  884,83 ",1/10/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  884,83 ",1/10/2025,,,,
TRANSPORTADORA COMBINADA,"  842,49 ",1/10/2025,,,,
TRANSPORTADORA COMBINADA,"  613,76 ",1/10/2025,,,,
TRANSPORTADORA COMBINADA,"  539,14 ",1/10/2025,,,,
TRANSPORTADORA COMBINADA,"  496,72 ",1/10/2025,,,,
