FORNECEDOR,Valor/moeda objeto,Data de lançamento,,,NOME TRANSPORTADORA,VALOR
TRANSPORTADORA COMBINADA,"  239,69 ",2/20/2025,,,,
TRANSPORTADORA COMBINADA,"  239,63 ",2/20/2025,,,,
TRANSPORTADORA COMBINADA,"  239,28 ",2/23/2025,,,,
TRANSPORTADORA COMBINADA,"  238,98 ",2/20/2025,,,,
TRANSPORTADORA COMBINADA,"  238,62 ",2/2/2025,,,,
TRANSPORTADORA COMBINADA,"  238,60 ",2/20/2025,,,,
TRANSPORTADORA COMBINADA,"  238,52 ",2/20/2025,,,,
TRANSPORTADORA COMBINADA,"  238,25 ",2/1/2025,,,,
TRANSPORTADORA COMBINADA,"  238,22 ",2/20/2025,,,,
TRANSPORTADORA COMBINADA,"  238,21 ",2/20/2025,,,,
TRANSPORTADORA COMBINADA,"  238,19 ",2/2/2025,,,,
TRANSPORTADORA COMBINADA,"  237,83 ",2/20/2025,,,,
TRANSPORTADORA COMBINADA,"  237,74 ",2/20/2025,,,,
TRANSPORTADORA COMBINADA,"  237,43 ",2/20/2025,,,,
TRANSPORTADORA COMBINADA,"  237,35 ",2/2/2025,,,,
TRANSPORTADORA COMBINADA,"  237,22 ",2/23/2025,,,,
TRANSPORTADORA COMBINADA,"  236,99 ",2/23/2025,,,,
TRANSPORTADORA COMBINADA,"  236,87 ",2/20/2025,,,,
TRANSPORTADORA COMBINADA,"  236,49 ",2/20/2025,,,,
TRANSPORTADORA COMBINADA,"  236,11 ",2/20/2025,,,,
TRANSPORTADORA COMBINADA,"  171,58 ",2/21/2025,,,,
TRANSPORTADORA COMBINADA,"  166,25 ",2/14/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  145,50 ",2/21/2025,,,,
TRANSPORTADORA COMBINADA,"  85,07 ",2/26/2025,,,,
DEMAIS TRANSPORTADORAS,"  4.706,81 ",3/26/2025,,,,
DEMAIS TRANSPORTADORAS,"  4.706,81 ",3/26/2025,,,,
TRANSPORTADORA COMBINADA,"  2.782,58 ",3/5/2025,,,,
DEMAIS TRANSPORTADORAS,"  1.992,82 ",3/26/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  882,99 ",3/18/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  875,98 ",3/1/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  797,78 ",3/22/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  790,34 ",3/14/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  778,65 ",3/25/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  778,65 ",3/27/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  778,65 ",3/8/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  778,65 ",3/7/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  588,34 ",3/25/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  583,05 ",3/27/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  536,11 ",3/14/2025,,,,
TRANSPORTADORA COMBINADA,"  478,85 ",3/6/2025,,,,
